player_id,player_url,fifa_version,fifa_update,fifa_update_date,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,league_id,league_name,league_level,club_team_id,club_name,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk,player_face_url
227125,/player/227125/sam-kerr/230009,23,9,13-01-23,S. Kerr,Samantha May Kerr,ST,91,91,134500000,4000,28,10-09-93,168,66,2216,Women's Super League,1,116010,Chelsea W,ST,20,,01-01-20,2024,195,Australia,,,,Right,4,4,5,High/High,Normal (170-),Yes,275700000,"#Aerial Threat, #Dribbler, #Engine, #Distance Shooter, #Acrobat, #Clinical Finisher, #Complete Forward","Solid Player, Leadership, Finesse Shot, Speed Dribbler (AI), Power Header, Chip Shot (AI)",87,91,74,90,42,83,70,93,91,78,92,90,76,68,64,92,89,85,90,91,82,91,91,87,86,89,70,24,95,79,75,92,44,39,30,7,12,8,16,13,,91,91,91,87,89,89,89,87,86+3,86+3,86+3,85+3,78+3,78+3,78+3,85+3,64+3,62+3,62+3,62+3,64+3,61+3,58+3,58+3,58+3,61+3,20+3,https://cdn.sofifa.net/players/227/125/23_120.png
227316,/player/227316/wendie-renard/230009,23,9,13-01-23,W. Renard,Wéndèleine Thérèse Renard,CB,91,91,89500000,3000,31,20-07-90,187,70,2218,Feminine Division 1,1,116033,Lyon W,LCB,3,,01-07-06,2026,18,France,113003,LCB,3,Right,3,2,5,High/Medium,Lean (185+),Yes,183500000,"#Aerial Threat, #Tackling, #Tactician, #Strength, #Complete Defender","Leadership, Long Passer (AI), Power Header, Team Player",63,72,71,72,93,87,51,70,96,84,55,69,65,58,87,85,65,62,53,90,34,85,86,75,93,65,88,90,70,59,75,84,93,94,91,7,14,17,11,15,,78+3,78+3,78+3,71,75,75,75,71,74+3,74+3,74+3,72+3,79+3,79+3,79+3,72+3,80+3,87+3,87+3,87+3,80+3,82+3,91,91,91,82+3,21+3,https://cdn.sofifa.net/players/227/316/23_120.png
226301,/player/226301/alex-morgan/230009,23,9,13-01-23,A. Morgan,Alexandra Morgan Carrasco,ST,90,90,,,32,02-07-89,168,62,,,,,,,,,,,95,United States,113009,ST,13,Left,4,4,5,High/Low,Unique,Yes,,#Clinical Finisher,"Leadership, Finesse Shot, Flair, Speed Dribbler (AI), Outside Foot Shot, Team Player",89,91,80,88,47,77,71,95,86,91,87,87,68,70,82,93,88,89,83,84,67,90,81,87,81,83,53,46,92,75,88,92,41,43,39,11,11,10,10,11,,90,90,90,87,89,89,89,87,87+3,87+3,87+3,86+3,82+3,82+3,82+3,86+3,69+3,67+3,67+3,67+3,69+3,66+3,60+3,60+3,60+3,66+3,19+3,https://cdn.sofifa.net/players/226/301/23_120.png
227310,/player/227310/ada-hegerberg/230009,23,9,13-01-23,A. Hegerberg,Ada Martine Stolsmo Hegerberg,ST,90,91,143000000,3000,26,10-07-95,176,68,2218,Feminine Division 1,1,116033,Lyon W,RES,14,,01-07-14,2024,36,Norway,113007,ST,14,Right,4,4,5,High/Medium,Normal (170-185),Yes,303900000,"#Aerial Threat, #Distance Shooter, #Clinical Finisher, #Complete Forward","Leadership, Outside Foot Shot, Technical Dribbler (AI)",83,91,77,87,39,77,71,94,93,84,90,91,79,75,72,91,81,85,74,92,47,86,89,75,81,89,65,23,96,76,86,86,42,33,30,15,7,12,10,14,,90+1,90+1,90+1,87,89,89,89,87,87+3,87+3,87+3,85+3,78+3,78+3,78+3,85+3,63+3,61+3,61+3,61+3,63+3,60+3,56+3,56+3,56+3,60+3,20+3,https://cdn.sofifa.net/players/227/310/23_120.png
227246,/player/227246/lucy-bronze/230009,23,9,13-01-23,L. Bronze,Lucia Roberta Tough Bronze,RB,89,89,,,30,28-10-91,171,65,,,,,,,,,,,14,England,113002,RB,2,Right,3,3,5,High/High,Normal (170-185),Yes,,"#Engine, #Crosser, #Tackling, #Acrobat, #Strength","Leadership, Speed Dribbler (AI), Power Header, Giant Throw-in, Outside Foot Shot",85,77,82,83,88,89,87,73,82,85,66,79,88,81,80,85,85,85,86,89,82,85,92,90,90,86,82,85,73,73,62,86,89,91,89,10,14,16,8,15,,81+3,81+3,81+3,82,81,81,81,82,81+3,81+3,81+3,82+3,82+3,82+3,82+3,82+3,87+2,86+3,86+3,86+3,87+2,87+2,87+2,87+2,87+2,87+2,20+3,https://cdn.sofifa.net/players/227/246/23_120.png
245802,/player/245802/beth-mead/230009,23,9,13-01-23,B. Mead,Bethany Jane Mead,"RW, LW, RM",89,89,110000000,3000,27,09-05-95,163,58,2216,Women's Super League,1,116009,Arsenal W,SUB,9,,01-01-17,2025,14,England,113002,RM,7,Right,4,5,4,High/High,Normal (170-),Yes,231000000,"#Dribbler, #Distance Shooter, #Crosser, #FK Specialist, #Clinical Finisher, #Complete Forward","Early Crosser, Long Shot Taker (AI), Outside Foot Shot",81,88,86,88,67,73,90,92,68,88,73,91,81,88,74,90,80,81,69,90,84,87,74,83,84,89,31,73,94,89,68,82,61,69,68,11,15,17,16,10,,87+2,87+2,87+2,89,89,89,89,89,88+1,88+1,88+1,88+1,85+3,85+3,85+3,88+1,80+3,76+3,76+3,76+3,80+3,78+3,70+3,70+3,70+3,78+3,22+3,https://cdn.sofifa.net/players/245/802/23_120.png
246272,/player/246272/marie-katoto/230009,23,9,13-01-23,M. Katoto,Marie-Antoinette Oda Katoto,ST,89,93,149500000,2000,23,01-11-98,177,66,2218,Feminine Division 1,1,116034,Paris SG W,RES,9,,26-04-15,2025,18,France,113003,SUB,9,Right,4,4,4,High/Medium,Lean (170-185),Yes,317700000,"#Aerial Threat, #Clinical Finisher, #Complete Forward","Finesse Shot, Power Header, Outside Foot Shot",87,90,78,85,39,73,71,93,92,86,91,86,71,69,70,88,88,87,80,88,68,86,86,78,81,87,44,27,93,79,82,85,37,35,29,14,12,11,14,8,,89+3,89+3,89+3,86,88,88,88,86,86+3,86+3,86+3,84+3,78+3,78+3,78+3,84+3,63+3,60+3,60+3,60+3,63+3,60+3,54+3,54+3,54+3,60+3,20+3,https://cdn.sofifa.net/players/246/272/23_120.png
227361,/player/227361/kadidiatou-diani/230009,23,9,13-01-23,K. Diani,Kadidiatou Diani,"RW, ST",88,88,97500000,3000,27,01-04-95,168,64,2218,Feminine Division 1,1,116034,Paris SG W,ST,11,,13-07-17,2023,18,France,113003,RW,11,Right,4,4,3,High/High,Normal (170-),Yes,199900000,"#Speedster, #Dribbler, #Acrobat, #Clinical Finisher, #Complete Forward","Solid Player, Speed Dribbler (AI), Outside Foot Shot",90,83,82,88,53,74,84,87,70,87,74,88,72,67,74,90,89,91,89,87,85,76,53,81,82,82,52,55,91,85,71,84,42,59,49,15,7,7,15,13,,85+3,85+3,85+3,88,87,87,87,88,87+1,87+1,87+1,87+1,82+3,82+3,82+3,87+1,73+3,70+3,70+3,70+3,73+3,70+3,63+3,63+3,63+3,70+3,20+3,https://cdn.sofifa.net/players/227/361/23_120.png
233746,/player/233746/vivianne-miedema/230009,23,9,13-01-23,V. Miedema,Vivianne Miedema,"ST, CAM",88,89,111000000,3000,25,15-07-96,178,65,2216,Women's Super League,1,116009,Arsenal W,CM,11,,01-07-17,2023,34,Netherlands,113011,ST,9,Right,4,4,5,High/High,Normal (170-185),Yes,241400000,"#Distance Shooter, #Clinical Finisher","Leadership, Finesse Shot, Outside Foot Shot",83,88,70,88,32,82,64,88,83,79,89,89,76,73,56,92,86,81,80,90,73,89,75,85,85,88,70,27,95,69,75,91,22,30,23,14,16,17,14,17,,88+1,88+1,88+1,85,87,87,87,85,84+3,84+3,84+3,82+3,75+3,75+3,75+3,82+3,60+3,57+3,57+3,57+3,60+3,57+3,52+3,52+3,52+3,57+3,24+3,https://cdn.sofifa.net/players/233/746/23_120.png
245872,/player/245872/kim-little/230009,23,9,13-01-23,K. Little,Kim Alison Little,"CM, CAM, CDM",88,88,72000000,2000,32,29-06-90,162,57,2216,Women's Super League,1,116009,Arsenal W,SUB,10,,01-07-08,2023,42,Scotland,,,,Right,4,4,4,High/High,Normal (170-),Yes,151200000,"#Dribbler, #Playmaker, #Engine, #Complete Midfielder","Leadership, Flair, Playmaker (AI), Outside Foot Shot, Team Player",79,81,84,90,65,67,78,78,56,89,82,90,77,65,81,92,82,77,85,89,88,85,75,93,53,84,65,82,90,89,78,84,38,80,74,12,5,6,10,6,,81+3,81+3,81+3,86,87,87,87,86,88,88,88,86+2,88,88,88,86+2,81+3,79+3,79+3,79+3,81+3,78+3,69+3,69+3,69+3,78+3,17+3,https://cdn.sofifa.net/players/245/872/23_120.png
